StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,1_1,1_2,1_3,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3,7_1,7_2,7_3,8_1,8_2,8_3,9_1,9_2,9_3,10_1,10_2,10_3,11_1,11_2,11_3,12_1,12_2,12_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which Assassin's Creed games have you played and would thus like to rate on the next page? Select all that apply.,Assassin's Creed (2007) - Story,Assassin's Creed (2007) - Gameplay,Assassin's Creed (2007) - Enjoyment/Overall,Assassin's Creed II (2009) - Story,Assassin's Creed II (2009) - Gameplay,Assassin's Creed II (2009) - Enjoyment/Overall,Assassin's Creed: Brotherhood (2010) - Story,Assassin's Creed: Brotherhood (2010) - Gameplay,Assassin's Creed: Brotherhood (2010) - Enjoyment/Overall,Assassin's Creed: Revelations (2011) - Story,Assassin's Creed: Revelations (2011) - Gameplay,Assassin's Creed: Revelations (2011) - Enjoyment/Overall,Assassin's Creed III (2012) - Story,Assassin's Creed III (2012) - Gameplay,Assassin's Creed III (2012) - Enjoyment/Overall,Assassin's Creed IV: Black Flag (2013) - Story,Assassin's Creed IV: Black Flag (2013) - Gameplay,Assassin's Creed IV: Black Flag (2013) - Enjoyment/Overall,Assassin's Creed: Rogue (2014) - Story,Assassin's Creed: Rogue (2014) - Gameplay,Assassin's Creed: Rogue (2014) - Enjoyment/Overall,Assassin's Creed: Unity (2014) - Story,Assassin's Creed: Unity (2014) - Gameplay,Assassin's Creed: Unity (2014) - Enjoyment/Overall,Assassin's Creed: Syndicate (2015) - Story,Assassin's Creed: Syndicate (2015) - Gameplay,Assassin's Creed: Syndicate (2015) - Enjoyment/Overall,Assassin's Creed: Origins (2017) - Story,Assassin's Creed: Origins (2017) - Gameplay,Assassin's Creed: Origins (2017) - Enjoyment/Overall,Assassin's Creed: Odyssey (2018) - Story,Assassin's Creed: Odyssey (2018) - Gameplay,Assassin's Creed: Odyssey (2018) - Enjoyment/Overall,Assassin's Creed: Valhalla (2020) - Story,Assassin's Creed: Valhalla (2020) - Gameplay,Assassin's Creed: Valhalla (2020) - Enjoyment/Overall
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}"
2022-05-19 02:35:52,2022-05-19 02:36:15,Survey Preview,,100,22,True,2022-05-19 02:36:16,R_2yr8vC57tFgkOwe,,,,,43.492,-112.0592,preview,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Syndicate (2015),Assassin's Creed: Valhalla (2020)",7,8,7,,8,7,,,,,,,,,,,,8,,,,,,,6,,,,,,,,,,7,
2022-05-20 02:02:57,2022-05-20 02:04:40,IP Address,75.167.9.219,100,103,True,2022-05-20 02:04:41,R_1NFkc4Kf8NcyYJZ,,,,,33.5225,-111.9078,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",10,7,9,10,9,10,10,10,10,9,10,10,5,8,7,10,8,8,6,9,8,5,7,8,5,8,8,4,4,6,1,1,1,2,1,2
2022-05-24 12:32:46,2022-05-24 12:33:14,IP Address,87.227.130.34,100,28,True,2022-05-24 12:33:14,R_2fBZ6V21sdxyLru,,,,,42.4963,27.4646,anonymous,EN,Assassin's Creed II (2009),,,,9,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 12:56:18,2022-05-24 13:02:59,IP Address,158.120.249.52,100,400,True,2022-05-24 13:02:59,R_2cAUjTxHsmn2LLm,,,,,43.492,-112.0592,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018)",,,,9,7,8,8,9,9,,,,,,,5,9,7,,,,,,,,,,9,6,7,8,8,8,,,
2022-05-24 14:04:12,2022-05-24 14:04:33,IP Address,86.9.175.79,100,20,True,2022-05-24 14:04:33,R_22o80C8VIIabxlU,,,,,54.5245,-1.551,anonymous,EN,Assassin's Creed II (2009),,,,7,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 14:08:57,2022-05-24 14:15:08,IP Address,75.33.159.212,100,371,True,2022-05-24 14:15:09,R_3dLdgUBqSVhZ6B8,,,,,34.0034,-84.4605,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",9,6,8,9,8,9,8,8,8,8,8,8,9,9,10,9,9,9,8,8,8,8,10,9,7,8,8,6,9,8,7,8,7,8,7,8
2022-05-24 14:17:25,2022-05-24 14:19:50,IP Address,68.61.176.246,100,144,True,2022-05-24 14:19:50,R_2Cqra9j0tEIK4eL,,,,,43.0761,-83.8473,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,7,7,8,7,7,8,8,9,10,9,10,9,10,10,10,10,10,7,7,8,6,10,8,6,7,6,7,7,5,5,5,5,1,1,1
2022-05-24 14:17:45,2022-05-24 14:19:59,IP Address,109.231.145.142,100,133,True,2022-05-24 14:19:59,R_2tmKfwVTtyT2ab5,,,,,49.8699,18.4175,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",10,7,8,8,8,9,8,10,10,9,9,9,7,8,7,8,10,9,7,7,7,8,10,10,7,8,7,8,10,10,7,7,7,7,7,7
